date,1. open,2. high,3. low,4. close,5. volume,close_normalized,close_lagged_1,close_lagged_2,close_lagged_3
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,-0.6481398628769843,80.25,81.5,83.62
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,-0.6303689082302353,81.5,83.62,88.31
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,-0.6219226370102975,83.62,88.31,96.37
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,-0.6075977610212829,88.31,96.37,89.62
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,-0.5759073514040765,96.37,89.62,91.44
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,-0.5214457945779175,89.62,91.44,92.25
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,-0.5670556591655815,91.44,92.25,90.62
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,-0.5547578882693522,92.25,90.62,89.44
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,-0.5492847045188325,90.62,89.44,91.19
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,-0.5602986421896313,89.44,91.19,90.25
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,-0.5682719222212527,91.19,90.25,89.62
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,-0.5564471425133397,90.25,89.62,92.44
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,-0.5627987384707329,89.62,92.44,90.62
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,-0.5670556591655815,92.44,90.62,92.81
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,-0.5480008712934019,90.62,92.81,94.69
1999-11-22,91.75,91.75,89.25,90.62,1806800.0,-0.5602986421896313,92.81,94.69,95.06
1999-11-23,91.75,95.25,88.5,92.81,4851000.0,-0.5455007750123003,94.69,95.06,94.56
1999-11-24,93.0,95.0,91.69,94.69,1920600.0,-0.5327975830975139,95.06,94.56,97.87
1999-11-26,94.75,95.5,94.12,95.06,1179200.0,-0.5302974868164123,94.56,97.87,103.06
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,-0.5336759953043875,97.87,103.06,110.19
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,-0.5113102691139921,103.06,110.19,115.0
1999-12-01,101.0,104.5,100.06,103.06,5522900.0,-0.47624135100881043,110.19,115.0,116.0
1999-12-02,103.12,110.62,101.75,110.19,5065700.0,-0.4280638199702853,115.0,116.0,117.81
1999-12-03,112.19,115.56,111.87,115.0,5785000.0,-0.39556256831596465,116.0,117.81,110.06
1999-12-06,114.56,117.31,111.44,116.0,4167700.0,-0.38880555134001443,117.81,110.06,105.25
1999-12-07,116.56,118.0,114.0,117.81,3973400.0,-0.3765753506135445,110.06,105.25,103.0
1999-12-08,116.25,117.87,109.5,110.06,3681700.0,-0.4289422321771588,105.25,103.0,99.0
